fecha,DMM
01/01/2000,6.25
01/02/2000,6.25
01/03/2000,6.25
01/10/2000,7.93
01/11/2000,7.94
01/12/2000,6.66
01/01/2001,6.93
01/02/2001,6.69
01/03/2001,8.04
01/10/2001,15.41
01/11/2001,9.23
01/12/2001,9.09
01/01/2002,11.7
01/02/2002,9.8
01/03/2002,10.11
01/10/2002,13.4
01/11/2002,11.72
01/12/2002,10.86
01/01/2003,11.06
01/02/2003,10.93
01/03/2003,11.62
01/10/2003,17.32
01/11/2003,14.56
01/12/2003,11.64
01/01/2004,11.64
01/02/2004,12.04
01/03/2004,14.28
01/10/2004,17.64
01/11/2004,16.88
01/12/2004,14.16
01/01/2005,13.4
01/02/2005,13.92
01/03/2005,15.64
01/10/2005,20.64
01/11/2005,23.04
01/12/2005,23.04
01/01/2006,21.48
01/02/2006,20.88
01/03/2006,21.36
01/10/2006,24.36
01/11/2006,20.04
01/12/2006,17.52
01/01/2007,14.88
01/02/2007,16.2
01/03/2007,20.8
01/10/2007,24.72
01/11/2007,20.3
01/12/2007,18
