fecha,DMM
01/04/2000,6.25
01/05/2000,6.25
01/06/2000,6.25
01/07/2000,6.25
01/08/2000,6.25
01/09/2000,7.15
01/04/2001,8.14
01/05/2001,8.54
01/06/2001,9.31
01/07/2001,10.01
01/08/2001,9.6
01/09/2001,9.99
01/04/2002,10.75
01/05/2002,11.25
01/06/2002,11.24
01/07/2002,12.01
01/08/2002,9.99
01/09/2002,12.28
01/04/2003,17.18
01/05/2003,13.68
01/06/2003,13.56
01/07/2003,13.08
01/08/2003,15.16
01/09/2003,18
01/04/2004,13.9
01/05/2004,15.18
01/06/2004,15
01/07/2004,15.38
01/08/2004,17.8
01/09/2004,14.48
01/04/2005,15.72
01/05/2005,16.32
01/06/2005,21
01/07/2005,21.28
01/08/2005,22.08
01/09/2005,22.56
01/04/2006,24.12
01/05/2006,24.84
01/06/2006,28.56
01/07/2006,24.84
01/08/2006,25.08
01/09/2006,28.2
01/04/2007,22.68
01/05/2007,25.44
01/06/2007,25.8
01/07/2007,23.64
01/08/2007,24.84
01/09/2007,24.6
